ID,Renda,Divida,Score_Credito,Valor_Solicitado,Profissao,Emprestimo_Aprovado
1,19753.0,5224,398,55732,Servidor,Não
2,10654.0,2312,575,61489,Servidor,Não
3,9900.0,14759,820,2515,Servidor,Sim
4,9951.0,9935,813,6923,Empresário,Sim
5,13301.0,5986,1200,47370,Empresário,Sim
6,5712.0,12371,635,24758,Servidor,Não
7,11788.0,12657,745,10943,Empresário,Sim
8,8224.0,4287,329,85541,Servidor,Não
9,14272.0,1333,521,49657,Empresário,Não
10,13051.0,376,720,77763,Servidor,Sim
11,,6789,695,85561,CLT,Sim
12,11260.0,10757,514,33263,CLT,Não
13,16477.0,10027,383,36839,Autônomo,Não
14,2126.0,8058,580,61321,Empresário,Não
15,15733.0,6322,499,89289,Empresário,Não
16,19780.0,1184,850,2452,Servidor,Sim
17,10101.0,1229,832,57495,CLT,Sim
18,8753.0,10670,558,7014,Empresário,Não
19,11489.0,6934,533,14724,Servidor,Não
20,7373.0,13440,897,90896,Servidor,Sim
21,10238.0,11962,712,15508, clt ,Sim
22,15829.0,12502,658,51107,Empresário,Sim
23,18615.0,1851,807,20058,Servidor,Sim
24,13909.0,6546,603,11183,Autônomo,Não
25,6004.0,14687,313,25311,Servidor,Não
26,19153.0,5520,431,88698,Servidor,Não
27,19321.0,362,460,89422,Servidor,Não
28,16465.0,12504,929,89695,Empresário,Sim
29,18718.0,1041,797,50648,Empresário,Sim
30,17966.0,4155,885,76353,Empresário,Sim
31,5134.0,8027,908,61082,Servidor,Sim
32,11570.0,8032,647,54914,Empresário,Não
33,1576.0,12256,681,48112,Servidor,Não
34,18541.0,3128,720,65004,CLT,Sim
35,18917.0,8949,805,66828,Servidor,Sim
36,7358.0,1140,701,25545,Servidor,Sim
37,11163.0,14405,831,60686,CLT,Sim
38,17227.0,7417,566,69256,Autônomo,Não
39,14542.0,10377,585,6514,Autônomo,Não
40,5751.0,214,373,75290,CLT,Não
41,15715.0,2799,441,81880,CLT,Não
42,7900.0,12565,634,60809,Servidor,Não
43,2226.0,5125,843,6562,Empresário,Não
44,17310.0,7650,818,45273,Servidor,Sim
45,12755.0,7782,900,12455,CLT,Sim
46,4841.0,14127,694,77338,Autônomo,Não
47,8206.0,12118,843,26036,Autônomo,Sim
48,15812.0,1457,793,37769,Servidor,Sim
49,5261.0,11976,581,28734,Servidor,Não
50,5111.0,1943,632,76373,Autônomo,Não
51,17548.0,10401,826,60377,Autônomo,Sim
52,14443.0,6628,792,92337,Servidor,Sim
53,17026.0,1239,614,62269,Autônomo,Não
54,5729.0,3670,393,22668,Servidor,Não
55,13335.0,2226,863,64960,Empresário,Sim
56,4966.0,3708,477,96465,Empresário,Não
57,10066.0,4126,313,39767,Autônomo,Não
58,2496.0,9361,725,37537,Autônomo,Não
59,18236.0,2618,616,27918,CLT,Não
60,11024.0,13592,516,26802,Servidor,Não
61,4253.0,14436,824,28099,CLT,Não
62,10701.0,11399,931,44769,Empresário,Sim
63,10455.0,14286,599,10603,Servidor,Não
64,18789.0,6262,704,23192,Empresário,Sim
65,3644.0,2232,672,91839,Autônomo,Sim
66,1979.0,13210,605,84244,Autônomo,Não
67,14157.0,6043,371,11241,Empresário,Não
68,7095.0,6448,939,45479,Autônomo,Sim
69,12948.0,14725,926,8775,Autônomo,Sim
70,16679.0,13262,376,7355,Servidor,Não
71,5990.0,8832,707,47392,Servidor,Sim
72,15274.0,322,631,46322,CLT,Não
73,17943.0,3645,352,3312,CLT,Não
74,16047.0,1118,619,51452,Servidor,Não
75,13155.0,5376,760,24407,Autônomo,Sim
76,7934.0,13885,573,69365,Autônomo,Não
77,2778.0,12370,474,20558,Empresário,Não
78,12439.0,4193,927,5367,Autônomo,Sim
79,8404.0,3864,814,36062,Autônomo,Sim
80,1214.0,12991,648,78623,CLT,Não
81,15116.0,1873,931,17668,Autônomo,Sim
82,15656.0,6056,632,31590,Servidor,Não
83,11402.0,9164,544,35535,Servidor,Não
84,17524.0,4404,615,87674,Servidor,Não
85,3813.0,9848,878,42883,Servidor,Não
86,7433.0,12055,923,22736,CLT,Sim
87,16402.0,743,498,94223,Empresário,Não
88,4188.0,10358,495,91496,Empresário,Não
