id_aluno,idade,curso,turno,modalidade,cidade,renda_familiar,horas_estudo_semana,frequencia_percentual,nota_anterior,acessos_ava_mes,atividades_entregues_percentual,horas_sono,distancia_km,internet_estavel,trabalha,recebeu_monitoria,satisfacao_curso,nota_final,aprovado,risco_evasao
AL00001,24,desenv. sistemas,noturno ,Hibrido,Pomerode,3623,8.4,84.2,6.4,43,93.8,9,15,SIM,nao,Sim,6,6,Sim,Não
AL00002,16,Administração,Noturno,Presencial,Brusque,2279,8.7,82.5,8.1,33,85.6,7.5,4,Não,Sim,Não,8,6.6,Sim,Sim
AL00003,29,Administração,Noturno,Presencial,Brusque,4018,6.5,67.9,7.4,40,84.5,6.1,4.2,Não,Sim,Não,5,4.7,Não,Sim
AL00004,33,Eletromecânica,Noturno,Híbrido,Pomerode,3836,4.5,100,6.8,15,80.6,6.8,15.9,Não,Não,Não,8,6.9,Sim,Não
AL00005,19,Automação Industrial,Matutino,Presencial,Blumenau,1842,5.5,90.6,8.6,35,63.3,5.9,3,Sim,Sim,Não,7,7.1,Sim,Não
AL00006,16,Automação Industrial,Noturno,Presencial,Gaspar,8711,7.9,93.1,5.1,38,84.9,5.6,18.6,Sim,Não,Não,8,6.7,Sim,Sim
AL00007,21,Desenvolvimento de Sistemas,Noturno,Presencial,Brusque,5682,7.2,88,7.7,40,100,6.7,5.9,Sim,Sim,Não,8,7.6,Sim,Não
AL00008,23,Administração,Matutino,Presencial,Timbó,6724,10.9,88.7,4.5,29,92.3,6.6,1.9,Sim,Sim,Não,9,7.3,Sim,Não
AL00009,27,Eletromecânica,Noturno,Presencial,Pomerode,2099,13.1,82,6.6,42,77.9,6.1,7.4,Sim,Sim,Não,10,5.5,Não,Sim
AL00010,29,Eletromecânica,Matutino,Presencial,Indaial,2321,8.2,69.3,6.6,30,85.7,7.4,5.1,Não,Sim,Não,8,6.7,Não,Não
AL00011,18,Eletromecânica,Noturno,Presencial,Indaial,4514,2.8,69.2,5.2,15,99.2,6.5,2.7,Sim,Sim,Não,7,5.8,Não,Não
AL00012,23,Administração,Noturno,Híbrido,Pomerode,3116,6.4,68.4,6.2,38,71.6,6.6,5.8,Sim,Sim,Não,7,5.7,Não,Não
AL00013,35,Desenvolvimento de Sistemas,Matutino,Presencial,Timbó,9210,5.7,76.8,7.6,18,68.6,6,9.7,Sim,Sim,Sim,10,5.4,Não,Não
AL00014,28,Eletromecânica,Matutino,Híbrido,Timbó,1666,7.1,70.2,5.4,28,94.3,6.4,6.7,Sim,Sim,Sim,4,7.2,Não,Sim
AL00015,30,Administração,Noturno,Presencial,Indaial,2844,6.7,87.6,8.3,58,86.2,7,9.4,Sim,Sim,Sim,8,7.2,Sim,Sim
AL00016,20,Administração,Noturno,Presencial,Pomerode,5957,12.5,100,4.3,40,100,7.5,5.2,Sim,Sim,Sim,9,8.6,Sim,Não
AL00017,30,Administração,Matutino,Híbrido,Timbó,2638,0.8,71.2,6.4,42,93,5.5,7.7,Sim,Sim,Não,10,5.9,Não,Não
AL00018,22,Desenvolvimento de Sistemas,Matutino,Presencial,Blumenau,6187,10.5,87.8,4.9,52,91.6,8.2,3,Sim,Sim,Sim,8,6.2,Sim,Não
AL00019,26,Desenvolvimento de Sistemas,Matutino,Presencial,Blumenau,2037,16.2,91.6,8.6,41,85.8,6.9,10.3,Sim,Não,Não,9,7.9,Sim,Não
